"gene","STRING_id"
"Elmo1","10090.ENSMUSP00000072334"
"Elob","10090.ENSMUSP00000066210"
"Elovl1","10090.ENSMUSP00000006557"
"Elovl6","10090.ENSMUSP00000071351"
"Elp3","10090.ENSMUSP00000022609"
"Emp1","10090.ENSMUSP00000145069"
"Emp3","10090.ENSMUSP00000132519"
"Endod1","10090.ENSMUSP00000127751"
"Eno2","10090.ENSMUSP00000004378"
"Enpp2","10090.ENSMUSP00000128941"
"Enpp4","10090.ENSMUSP00000024757"
"Ensa","10090.ENSMUSP00000051799"
"Entr1","10090.ENSMUSP00000109737"
"Ep300","10090.ENSMUSP00000066789"
"Ep400","10090.ENSMUSP00000049038"
"Epb41l2","10090.ENSMUSP00000055122"
"Epb41l4b","10090.ENSMUSP00000030142"
"Epc1","10090.ENSMUSP00000028100"
"Epdr1","10090.ENSMUSP00000002885"
"Epha6","10090.ENSMUSP00000066734"
"Epm2aip1","10090.ENSMUSP00000052904"
"Epn2","10090.ENSMUSP00000136950"
"Eps8l1","10090.ENSMUSP00000125840"
"Erbin","10090.ENSMUSP00000140536"
"Erc1","10090.ENSMUSP00000139031"
"Ercc3","10090.ENSMUSP00000025241"
"Ercc4","10090.ENSMUSP00000023206"
"Ercc6","10090.ENSMUSP00000066256"
"Erlec1","10090.ENSMUSP00000072929"
"Errfi1","10090.ENSMUSP00000030811"
"Etfb","10090.ENSMUSP00000004729"
"Etfbkmt","10090.ENSMUSP00000136167"
"Etnk1","10090.ENSMUSP00000032413"
"Etnppl","10090.ENSMUSP00000072121"
"Evi5","10090.ENSMUSP00000108261"
"Exoc1","10090.ENSMUSP00000109121"
"Exoc3","10090.ENSMUSP00000039416"
"Exosc7","10090.ENSMUSP00000026891"
"Ezh1","10090.ENSMUSP00000102906"
"Fa2h","10090.ENSMUSP00000043597"
"Faah","10090.ENSMUSP00000041543"
"Faim","10090.ENSMUSP00000108532"
"Fam102a","10090.ENSMUSP00000044731"
"Fam120b","10090.ENSMUSP00000054420"
"Fam126a","10090.ENSMUSP00000030849"
"Fam168a","10090.ENSMUSP00000038233"
"Fam234a","10090.ENSMUSP00000110639"
"Fam53b","10090.ENSMUSP00000095608"
"Fam57a","10090.ENSMUSP00000091553"
"Fam76b","10090.ENSMUSP00000062642"
"Fam83f","10090.ENSMUSP00000023044"
"Far1","10090.ENSMUSP00000033018"
"Fasn","10090.ENSMUSP00000052872"
"Fat1","10090.ENSMUSP00000140596"
"Fbln5","10090.ENSMUSP00000021603"
"Fbn1","10090.ENSMUSP00000099524"
"Fbrsl1","10090.ENSMUSP00000063879"
"Fbxl12","10090.ENSMUSP00000119124"
"Fbxl3","10090.ENSMUSP00000022720"
"Fbxl5","10090.ENSMUSP00000045792"
"Fbxo25","10090.ENSMUSP00000147467"
"Fbxo27","10090.ENSMUSP00000103916"
"Fbxo7","10090.ENSMUSP00000120840"
"Fdft1","10090.ENSMUSP00000153671"
"Fdps","10090.ENSMUSP00000142770"
"Fez1","10090.ENSMUSP00000034630"
"Fgf1","10090.ENSMUSP00000045710"
"Fgfr1","10090.ENSMUSP00000081041"
"Fggy","10090.ENSMUSP00000078216"
"Fign","10090.ENSMUSP00000122855"
"Filip1","10090.ENSMUSP00000091329"
"Fis1","10090.ENSMUSP00000019198"
"Fkbp10","10090.ENSMUSP00000001595"
"Fkbp3","10090.ENSMUSP00000021332"
"Fkbp9","10090.ENSMUSP00000031795"
"Flcn","10090.ENSMUSP00000099758"
"Flnb","10090.ENSMUSP00000052020"
"Fmc1","10090.ENSMUSP00000019833"
"Fmn2","10090.ENSMUSP00000030039"
"Fnbp1","10090.ENSMUSP00000109190"
"Fndc1","10090.ENSMUSP00000095036"
"Fnta","10090.ENSMUSP00000016138"
"Fntb","10090.ENSMUSP00000035498"
"Foxj3","10090.ENSMUSP00000035746"
"Foxk2","10090.ENSMUSP00000101719"
"Foxn2","10090.ENSMUSP00000107857"
"Foxo1","10090.ENSMUSP00000055308"
"Foxo3","10090.ENSMUSP00000101141"
"Frmd3","10090.ENSMUSP00000081514"
"Frmd8","10090.ENSMUSP00000025728"
"Frzb","10090.ENSMUSP00000028389"
"Fscn1","10090.ENSMUSP00000031565"
"Fsd1l","10090.ENSMUSP00000114931"
"Fth1","10090.ENSMUSP00000158539"
"Fubp1","10090.ENSMUSP00000130145"
