"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis","18/692","136/10644",0.132352941176471,2.03578714722883,3.20560372763673,0.00302931908970854,0.0188617981057324,0.0139583322504941,"17873/12044/13197/13063/17210/16906/11796/22145/12983/16905/13665/78943/78688/12675/22146/18033/13040/23882",18
"Metabolism","Glycan biosynthesis and metabolism","mmu00520","Amino sugar and nucleotide sugar metabolism","8/692","39/10644",0.205128205128205,3.15518008003557,3.55541602879234,0.00311380475932126,0.0190288068625188,0.0140819240577492,"107652/15277/22235/212032/14584/54342/71884/227620",8
"Organismal Systems","Endocrine system","mmu04928","Parathyroid hormone synthesis, secretion and action","16/692","116/10644",0.137931034482759,2.12158660554116,3.20271847646414,0.00333066432220655,0.0199839859332393,0.0147887870383142,"12575/240047/20393/26427/15200/13115/231991/18227/16478/18578/14462/14679/14531/216869/14674/18751",16
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection","28/692","256/10644",0.109375,1.68235187861272,2.91401845810584,0.00466477184325069,0.0274888340762987,0.0203426140532737,"12765/12575/17869/16193/19225/20293/12771/26427/13063/21354/18019/14707/12767/231991/22339/14679/16176/12675/13557/14695/29857/16177/14674/16194/19354/18033/14991/18751",28
"Organismal Systems","Immune system","mmu04660","T cell receptor signaling pathway","16/692","122/10644",0.131147540983607,2.01724628067848,2.97979764009415,0.00549967818639201,0.0318402421317432,0.0235627948151975,"18019/26410/22637/16818/108723/18036/12042/12675/18761/29857/19264/18033/12503/12502/16822/21947",16
"Environmental Information Processing","Signal transduction","mmu04350","TGF-beta signaling pathway","15/692","112/10644",0.133928571428571,2.06002270850537,2.97371025031912,0.00581526763512165,0.0330868675791404,0.0244853374110385,"17869/12156/22042/224109/20482/68010/15216/209268/12163/21815/238057/17130/16323/269275/11479",15
"Human Diseases","Infectious disease: viral","mmu05162","Measles","18/692","145/10644",0.124137931034483,1.90942794498704,2.90742300854851,0.00600818356645267,0.0336050945242268,0.0248688418807675,"16193/13063/21929/24088/54123/12566/170780/56489/13665/16185/18036/21898/16176/16175/12675/18033/12502/15481",18
"Organismal Systems","Endocrine system","mmu04920","Adipocytokine signaling pathway","11/692","72/10644",0.152777777777778,2.34995183044316,3.03065037482889,0.00645079415322844,0.0354793678427564,0.0262558639219122,"12702/14081/384783/18036/12675/50790/18761/72674/18033/18534/21938",11
"Human Diseases","Immune disease","mmu05340","Primary immunodeficiency","7/692","36/10644",0.194444444444444,2.99084778420039,3.15502238981423,0.00758356097419197,0.040999379132355,0.0303408483531303,"12265/21354/22637/17060/16818/19264/21947",7
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway","12/692","84/10644",0.142857142857143,2.19735755573906,2.90510234985969,0.00781824090335431,0.040999379132355,0.0303408483531303,"18733/232801/18019/17096/17060/108723/18036/12042/12675/19354/18033/18751",12
"Cellular Processes","Cell growth and death","mmu04218","Cellular senescence","21/692","183/10644",0.114754098360656,1.76509049559367,2.75284428005082,0.00782715419799504,0.040999379132355,0.0303408483531303,"12575/17873/17869/16193/12427/13197/18787/15259/18019/12566/63873/17164/26397/19046/16175/13557/29857/18033/14991/23882/54354",21
"Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection","17/692","138/10644",0.123188405797101,1.89482281980397,2.7898945632149,0.00804472266226182,0.0414806012272875,0.0306969680533675,"246256/15894/14289/94179/14293/12273/12796/12263/19204/20345/16664/15001/15000/12630/14131/17195/625018",17
"Cellular Processes","Cellular community - eukaryotes","mmu04540","Gap junction","12/692","86/10644",0.13953488372093,2.1462562172335,2.81429744041693,0.00940353715735481,0.0477410347988783,0.0353298885911954,"545486/67951/15559/22151/227613/14609/22145/14679/22146/104318/13489/18751",12
"Human Diseases","Cancer: specific types","mmu05212","Pancreatic cancer","11/692","76/10644",0.144736842105263,2.22627015515668,2.82895765652997,0.00967022265489957,0.0483511132744979,0.0357813661233924,"12575/17873/13197/21802/22339/12675/13557/19354/64143/18033/23882",11
"Organismal Systems","Sensory system","mmu04750","Inflammatory mediator regulation of TRP channels","16/692","130/10644",0.123076923076923,1.89310804802134,2.70160335751997,0.0100418267883713,0.0494597438830226,0.0366017881367185,"16180/15559/63873/14063/26397/18442/19046/16176/18761/12323/16000/29857/16177/11419/12061/18751",16
