"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","31/663","217/10644",0.142857142857143,2.29347123464771,4.96145118297048,1.16988869196452e-05,0.000241289542717683,0.000180101285473486,"14825/15894/20339/16193/20293/20310/13063/17969/20656/216799/24088/54123/18019/16835/17096/17392/15510/56489/13665/26397/78943/21898/16176/12675/12323/29857/17972/18033/238055/21947/15481",31
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis","17/663","87/10644",0.195402298850575,3.13704686118479,5.15828315737246,2.11771746101519e-05,0.000411086330667654,0.000306839557818919,"14825/15894/16193/20293/20310/24088/17392/22339/20297/21898/16176/16175/15001/15000/20311/114143/16156",17
"Cellular Processes","Transport and catabolism","mmu04145","Phagosome","27/663","183/10644",0.147540983606557,2.36866701283288,4.8132510191697,2.37210463125281e-05,0.000434885849063015,0.000324603791645121,"246256/17969/24088/22042/271457/545486/67951/21354/22151/227613/22145/170780/21898/18779/16402/15001/15000/22146/56644/14131/12721/17972/17195/114143/14991/13040/17523",27
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway","28/663","194/10644",0.144329896907216,2.31711526799459,4.77164660093999,2.54390188423167e-05,0.000441835590419184,0.000329791158399008,"12765/227288/14825/20293/12771/14191/20310/17969/56744/17096/104709/14707/277360/12767/15162/22376/20297/18036/14679/12675/320207/20311/14695/216869/19354/271849/18033/18751",28
"Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection","22/663","136/10644",0.161764705882353,2.59701889805696,4.83082433015654,3.20673407498039e-05,0.000529111122371765,0.00039493461765548,"16193/54483/20293/216799/18019/74192/268973/22637/16818/20111/22376/26397/21898/16176/16402/12675/29857/14131/19354/56212/18033/16822",22
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection","31/663","229/10644",0.135371179039301,2.17328933588887,4.62588673519843,3.44271239363885e-05,0.000540997661857534,0.000403806867223806,"15894/17873/17869/16193/12427/13197/13063/21929/27401/24088/54123/21354/17096/12566/17060/19698/18034/56489/26397/18036/14128/12675/15001/15000/13557/29857/18033/12503/12502/14991/23882",31
"Organismal Systems","Immune system","mmu04621","NOD-like receptor signaling pathway","30/663","220/10644",0.136363636363636,2.18922254216372,4.59366202715445,3.99498364976032e-05,0.000599247547464048,0.000447285250738716,"14825/16193/101613/59027/54483/20293/378425/20310/21929/216799/12796/54123/55991/11796/57436/268973/192656/56489/106512/12363/28240/18036/21898/16176/12675/29857/22166/18033/15951/383619",30
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","17/663","95/10644",0.178947368421053,2.87287449392713,4.72570490895521,6.8781458126688e-05,0.000986864399209001,0.000736606919983752,"12765/227288/14825/16193/20293/12771/20310/16174/16182/56744/12767/58181/20297/16185/20311/50930/21938",17
"Human Diseases","Infectious disease: viral","mmu05164","Influenza A","25/663","174/10644",0.14367816091954,2.30665210381235,4.47881395628418,7.36412327843412e-05,0.00101256695078469,0.000755791599628765,"15894/16193/12702/20293/12265/13063/216799/54123/81489/56488/56489/13665/18036/15980/21898/16176/16175/12675/16647/269966/15001/15000/18033/15979/18751",25
"Human Diseases","Substance dependence","mmu05030","Cocaine addiction","11/663","48/10644",0.229166666666667,3.67911010558069,4.79448510658958,0.000136576573810086,0.00173870596527526,0.00129779009848297,"26427/14814/13385/231991/214084/14800/14679/12569/18033/13489/14282",11
"Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection","29/663","224/10644",0.129464285714286,2.07845830639948,4.20431528765153,0.000136988954839869,0.00173870596527526,0.00129779009848297,"14825/15894/17869/16193/19225/12771/20310/13063/22695/57781/54123/18019/17096/104709/14707/277360/17164/22339/56489/15162/12675/320207/13557/15251/14695/29857/18033/15979/14991",29
