"gene","STRING_id"
"Lamc1","10090.ENSMUSP00000027752"
"Lamp2","10090.ENSMUSP00000074448"
"Lamtor5","10090.ENSMUSP00000129012"
"Lats2","10090.ENSMUSP00000022531"
"Lctl","10090.ENSMUSP00000034969"
"Ldlr","10090.ENSMUSP00000034713"
"Lgals3","10090.ENSMUSP00000118169"
"Lifr","10090.ENSMUSP00000126137"
"Lims2","10090.ENSMUSP00000025254"
"Lox","10090.ENSMUSP00000025409"
"Lpcat2","10090.ENSMUSP00000049252"
"Lrch4","10090.ENSMUSP00000031734"
"Lrp1","10090.ENSMUSP00000044004"
"Lrrk2","10090.ENSMUSP00000052584"
"Ltbp4","10090.ENSMUSP00000037536"
"Lyst","10090.ENSMUSP00000106188"
"Lzts2","10090.ENSMUSP00000045478"
"Lzts3","10090.ENSMUSP00000037109"
"Maf1","10090.ENSMUSP00000125387"
"Maged1","10090.ENSMUSP00000026142"
"Man1a","10090.ENSMUSP00000003843"
"Map1b","10090.ENSMUSP00000068374"
"Mapk1","10090.ENSMUSP00000065983"
"Mapk1ip1","10090.ENSMUSP00000112631"
"Mapk8ip1","10090.ENSMUSP00000050773"
"Mapk8ip3","10090.ENSMUSP00000085683"
"Mapre3","10090.ENSMUSP00000031058"
"Mast3","10090.ENSMUSP00000148686"
"Mbd3","10090.ENSMUSP00000089948"
"Mbip","10090.ENSMUSP00000021416"
"Mbnl2","10090.ENSMUSP00000085763"
"Mboat2","10090.ENSMUSP00000106567"
"Mbp","10090.ENSMUSP00000046185"
"Mcl1","10090.ENSMUSP00000044048"
"Mdn1","10090.ENSMUSP00000136222"
"Mecr","10090.ENSMUSP00000030742"
"Med13","10090.ENSMUSP00000044268"
"Med15","10090.ENSMUSP00000012259"
"Metap1d","10090.ENSMUSP00000048190"
"Mfsd2a","10090.ENSMUSP00000030408"
"Mia2","10090.ENSMUSP00000070572"
"Mical1","10090.ENSMUSP00000019967"
"Mical3","10090.ENSMUSP00000146544"
"Micall2","10090.ENSMUSP00000039707"
"Miip","10090.ENSMUSP00000030886"
"Mlf2","10090.ENSMUSP00000135920"
"Mob2","10090.ENSMUSP00000081455"
"Mocs2","10090.ENSMUSP00000125797"
"Mpdu1","10090.ENSMUSP00000018905"
"Mphosph8","10090.ENSMUSP00000112170"
"Mprip","10090.ENSMUSP00000071914"
"Mpz","10090.ENSMUSP00000066701"
"Mrtfb","10090.ENSMUSP00000009713"
"Msn","10090.ENSMUSP00000113071"
"Mt3","10090.ENSMUSP00000034211"
"Mtfr1","10090.ENSMUSP00000119724"
"Mtg1","10090.ENSMUSP00000036491"
"Mthfd1l","10090.ENSMUSP00000112897"
"Mtmr12","10090.ENSMUSP00000041227"
