"gene","p_val","avg_log2fc","pct.1","pct.2","p_val_adj"
"Itgav",0.00135949955720528,0.0361326771821966,0.316,0.264,1
"Itih5",0.00379201271704978,0.0652246543798148,0.119,0.091,1
"Itsn1",5.87325483726997e-06,0.189643274520235,0.36,0.291,0.0882162876557949
"Jak2",0.00717477264150962,0.0715600872679587,0.19,0.157,1
"Jakmip2",0.00572463723627489,0.142717625391577,0.129,0.103,1
"Jam3",0.00892543192768548,0.0503952577003002,0.471,0.416,1
"Jdp2",0.00940958704094135,0.0623071038515615,0.294,0.255,1
"Jmjd6",0.00915061332517355,-0.034272248648084,0.22,0.184,1
"Junb",1.94695276822275e-12,1.30512684161828,0.164,0.055,2.92432305787057e-08
"Kansl3",0.00504582521258167,0.0314379983636832,0.265,0.225,1
"Kat2a",0.0037180187147815,0.103619841497255,0.245,0.206,1
"Kcna1",7.49338076629915e-08,0.359805160646593,0.712,0.605,0.00112550579109813
"Kcnh8",0.0067268668208932,0.341541154703429,0.207,0.157,1
"Kcnk1",0.00152917608537476,0.053626598535552,0.22,0.178,1
"Kctd18",0.00425993729285485,0.1403956936042,0.123,0.096,1
"Kctd5",0.00743941039038166,-0.198106519482849,0.092,0.139,1
"Kdm5c",0.00772396340678224,0.102075410666709,0.133,0.107,1
"Kdm7a",0.00498184182851304,-0.336315477965121,0.1,0.145,1
"Kif1bp",0.00103063785375505,0.13716287418721,0.14,0.107,1
