"Annot","Term","Annotated","Significant","RichFactor","FoldEnrichment","zscore","Pvalue","Padj","GeneID","neg_log10_padj"
"GO:0003382","epithelial cell morphogenesis",52,2,0.0384615384615385,8.49324721080446,3.64768173358263,0.0232828977490148,0.154366236282342,"Tnmd,Rock1",0.81144768456877
"GO:0016032","viral process",359,5,0.0139275766016713,3.07554912926067,2.66898691728708,0.0239804367691443,0.158142987013584,"Ccl12,Nucks1,Hexim1,N4bp1,Tmem39a",0.800950062482583
"GO:1901976","regulation of cell cycle checkpoint",53,2,0.0377358490566038,8.33299726343079,3.60389545176116,0.024125286240734,0.158675087429083,"Mad2l1,Rfwd3",0.799491253720118
"GO:0040013","negative regulation of locomotion",360,5,0.0138888888888889,3.06700593723494,2.66174703096089,0.0242327766238788,0.158959301301995,"Arid4b,Ccl12,Stard13,Krit1,Mctp1",0.798714054814666
"GO:0006383","transcription by RNA polymerase III",54,2,0.037037037037037,8.17868249929319,3.56124515937323,0.0249800387401658,0.162996400539393,"Sf3b1,Polr3g",0.787821986044752
"GO:0015695","organic cation transport",139,3,0.0215827338129496,4.76599483771761,3.00184008789291,0.025450585119134,0.163358054923494,"Slc25a26,Nfe2l1,Slc1a1",0.786859446296725
"GO:0019083","viral transcription",55,2,0.0363636363636364,8.02997918112422,3.51967975899515,0.025847027826249,0.163358054923494,"Nucks1,Hexim1",0.786859446296725
"GO:0007266","Rho protein signal transduction",140,3,0.0214285714285714,4.7319520174482,2.98543791841858,0.0259240150981852,0.163358054923494,"Arhgap5,Stard13,Rock1",0.786859446296725
"GO:0009895","negative regulation of catabolic process",367,5,0.0136239782016349,3.0085071863885,2.61176104448009,0.0260472286762459,0.163358054923494,"Mad2l1,Mtm1,Nsun2,N4bp1,Tmem39a",0.786859446296725
"GO:0006006","glucose metabolic process",248,4,0.0161290322580645,3.56168431420832,2.73259707004766,0.0265363658906016,0.163358054923494,"Mdh2,Nfe2l1,Zmpste24,Hkdc1",0.786859446296725
"GO:0051656","establishment of organelle localization",500,6,0.012,2.64989312977099,2.51004429351494,0.0265599082141769,0.163358054923494,"Zw10,Mad2l1,Spdl1,Gem,Nop9,Stard3nl",0.786859446296725
"GO:0015804","neutral amino acid transport",56,2,0.0357142857142857,7.886586695747,3.47915134032914,0.0267261269628065,0.163358054923494,"Nfe2l1,Slc1a1",0.786859446296725
"GO:0046488","phosphatidylinositol metabolic process",142,3,0.0211267605633803,4.66530480593485,2.95309440239949,0.0268850498802515,0.163358054923494,"Mtm1,Pigu,Pip4k2a",0.786859446296725
"GO:0042176","regulation of protein catabolic process",372,5,0.0134408602150538,2.96807026184027,2.57677859854817,0.027395218533662,0.16564394971576,"Rchy1,Mad2l1,Mtm1,N4bp1,Nfe2l1",0.780824422462651
"GO:0010332","response to gamma radiation",57,2,0.0350877192982456,7.74822552564618,3.43961492838619,0.0276172104932457,0.166173629074931,"Tspyl5,Zmpste24",0.779437895449254
"GO:0010596","negative regulation of endothelial cell migration",57,2,0.0350877192982456,7.74822552564618,3.43961492838619,0.0276172104932457,0.166173629074931,"Stard13,Krit1",0.779437895449254
"GO:1901799","negative regulation of proteasomal protein catabolic process",59,2,0.0338983050847458,7.48557381291241,3.36335155521133,0.0294348324757238,0.174197096234069,"Mtm1,N4bp1",0.758959088708558
"GO:2000351","regulation of endothelial cell apoptotic process",59,2,0.0338983050847458,7.48557381291241,3.36335155521133,0.0294348324757238,0.174197096234069,"Ccl12,Krit1",0.758959088708558
"GO:0051100","negative regulation of binding",148,3,0.0202702702702703,4.47617082731587,2.85956712718172,0.0298813340464556,0.174197096234069,"Rock1,Habp4,Id2",0.758959088708558
"GO:0016072","rRNA metabolic process",258,4,0.0155038759689922,3.42363453458785,2.63740521810444,0.0300715831842972,0.174197096234069,"Wdr46,Pop5,Nop9,Tfb2m",0.758959088708558
"GO:0006497","protein lipidation",60,2,0.0333333333333333,7.36081424936387,3.32654737366231,0.0303611239652077,0.174197096234069,"Ppm1a,Atg13",0.758959088708558
"GO:2000059","negative regulation of ubiquitin-dependent protein catabolic process",60,2,0.0333333333333333,7.36081424936387,3.32654737366231,0.0303611239652077,0.174197096234069,"Mtm1,N4bp1",0.758959088708558
"GO:0034599","cellular response to oxidative stress",261,4,0.0153256704980843,3.38428241350063,2.60975986739838,0.0311839213022836,0.174197096234069,"Pcna,Mapkap1,Nfe2l1,Slc1a1",0.758959088708558
"GO:0002064","epithelial cell development",262,4,0.0152671755725191,3.37136530505215,2.60063427080944,0.0315600350174405,0.175388688984562,"Arid4b,Fndc3a,Tnmd,Rock1",0.755998418210492
"GO:0044843","cell cycle G1/S phase transition",263,4,0.0152091254752852,3.35854642556526,2.59155274862575,0.0319388196512509,0.177095742146959,"Ccl12,Rbl1,Id2,Rfwd3",0.751791880279772
"GO:0043124","negative regulation of canonical NF-kappaB signal transduction",62,2,0.032258064516129,7.12336862841665,3.2554173098112,0.0322480569821486,0.178410391312872,"Ppm1a,Nfkbid",0.74857985422888
"GO:0032006","regulation of TOR signaling",153,3,0.0196078431372549,4.32989073491992,2.78536269530932,0.0325074441639827,0.179044341687147,"Mtm1,Usp4,Zmpste24",0.747039399381921
"GO:0043433","negative regulation of DNA-binding transcription factor activity",153,3,0.0196078431372549,4.32989073491992,2.78536269530932,0.0325074441639827,0.179044341687147,"Nfkbid,Trim37,Id2",0.747039399381921
"GO:0001936","regulation of endothelial cell proliferation",154,3,0.0194805194805195,4.30177456131655,2.77090336696666,0.033046701973084,0.181609986620971,"Ccl12,Krit1,Tnmd",0.740860273573028
"GO:0007080","mitotic metaphase chromosome alignment",63,2,0.0317460317460317,7.01029928510845,3.22102662441717,0.0332084566836962,0.181691401280488,"Zw10,Spdl1",0.740665625607763
"GO:0072577","endothelial cell apoptotic process",63,2,0.0317460317460317,7.01029928510845,3.22102662441717,0.0332084566836962,0.181691401280488,"Ccl12,Krit1",0.740665625607763
"GO:0006749","glutathione metabolic process",64,2,0.03125,6.90076335877863,3.18737858004737,0.0341799853722471,0.186183048073936,"Nfe2l1,Slc1a1",0.730059863972813
"GO:0042158","lipoprotein biosynthetic process",65,2,0.0307692307692308,6.79459776864357,3.15444500967986,0.0351625242405647,0.187250169515669,"Ppm1a,Atg13",0.727577780465952
"GO:0006367","transcription initiation at RNA polymerase II promoter",159,3,0.0188679245283019,4.1664986317154,2.70040688230167,0.0358128374374056,0.187561021395678,"Atad2b,Lcor,Zmpste24",0.726857410901737
"GO:0006260","DNA replication",273,4,0.0146520146520147,3.23552274697313,2.50307540456199,0.0358739842782676,0.187561021395678,"Nucks1,Pcna,Rfwd3,Zmpste24",0.726857410901737
"GO:0030225","macrophage differentiation",66,2,0.0303030303030303,6.69164931760352,3.12219923411549,0.0361559553145963,0.188239321037888,"Eif2ak1,Id2",0.725289652289911
"GO:0045620","negative regulation of lymphocyte differentiation",66,2,0.0303030303030303,6.69164931760352,3.12219923411549,0.0361559553145963,0.188239321037888,"Nfkbid,Id2",0.725289652289911
"GO:0006650","glycerophospholipid metabolic process",276,4,0.0144927536231884,3.20035402146255,2.47732710037726,0.0371069060701944,0.191977779731362,"Mtm1,Pigu,Pip4k2a,Gpcpd1",0.716749035351176
