"gene","STRING_id"
"Fnbp1","10090.ENSMUSP00000109190"
"Slc3a2","10090.ENSMUSP00000130194"
"Srsf7","10090.ENSMUSP00000070983"
"Tgoln1","10090.ENSMUSP00000068487"
"Prkcq","10090.ENSMUSP00000028118"
"Cep350","10090.ENSMUSP00000120085"
"Slc7a5","10090.ENSMUSP00000041557"
"Kmt2e","10090.ENSMUSP00000110781"
"Sncg","10090.ENSMUSP00000023826"
"Vamp5","10090.ENSMUSP00000098843"
"Mdm2","10090.ENSMUSP00000020408"
"Sgk1","10090.ENSMUSP00000114074"
"Brd3","10090.ENSMUSP00000109574"
"Cd59a","10090.ENSMUSP00000132774"
"Ptbp1","10090.ENSMUSP00000126192"
"Prkca","10090.ENSMUSP00000062392"
"Fdps","10090.ENSMUSP00000142770"
"Crtc3","10090.ENSMUSP00000113540"
"Hid1","10090.ENSMUSP00000102152"
"Pcf11","10090.ENSMUSP00000113717"
"Lrch3","10090.ENSMUSP00000130708"
"Arhgef26","10090.ENSMUSP00000078281"
"Rapgef1","10090.ENSMUSP00000092703"
"Stk39","10090.ENSMUSP00000099776"
"Sh2b1","10090.ENSMUSP00000145754"
"Cavin3","10090.ENSMUSP00000044979"
"Jak2","10090.ENSMUSP00000064394"
"Kansl3","10090.ENSMUSP00000140597"
"Bzw1","10090.ENSMUSP00000051935"
"Stk3","10090.ENSMUSP00000018476"
"Sirpa","10090.ENSMUSP00000124048"
"Tspan3","10090.ENSMUSP00000034876"
"Immt","10090.ENSMUSP00000066181"
"Stx16","10090.ENSMUSP00000085218"
"Zcchc24","10090.ENSMUSP00000068677"
"Sf3b2","10090.ENSMUSP00000025774"
"Klf7","10090.ENSMUSP00000109720"
"Scmh1","10090.ENSMUSP00000101908"
"Vps37a","10090.ENSMUSP00000096415"
"Itga3","10090.ENSMUSP00000113556"
"Ssb","10090.ENSMUSP00000130313"
"Aldh2","10090.ENSMUSP00000031411"
"Cat","10090.ENSMUSP00000028610"
"Rnpc3","10090.ENSMUSP00000089792"
"Tcf7l1","10090.ENSMUSP00000109687"
"Prelid3a","10090.ENSMUSP00000025411"
"Anxa7","10090.ENSMUSP00000066035"
"Smarcd1","10090.ENSMUSP00000023759"
"Slc27a4","10090.ENSMUSP00000078971"
"Agtpbp1","10090.ENSMUSP00000022040"
"Pcnp","10090.ENSMUSP00000110087"
"Por","10090.ENSMUSP00000005651"
